codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen
SINT0770,Vacuno,50.0,7.0,4.52,52.48,0.0793,0,0,4,6,0,sintetico
0024ME,Menestras,6.0,1.0,0.0,7.0,0.0,1,0,0,1,0,real
0302CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0342GE,"Gelatina, postres",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0371IN,Infusion,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,real
0385IN,Infusion,3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real
SINT0754,"Mermelada, mantequilla",30.0,4.0,3.39,30.61,0.0997,0,1,2,6,0,sintetico
0101AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0308,Instantaneo,13.0,6.0,14.11,4.89,0.7426,0,0,3,3,1,sintetico
0467SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0067ME,Menestras,2.0,0.0,0.5,1.5,0.25,0,0,1,0,1,real
SINT0324,"Gelatina, postres",0.0,7.0,11.4,-4.4,1.6286,0,0,4,1,1,sintetico
0681COR,Cordero,0.0,3.0,0.0,3.0,0.0,1,0,0,1,1,real
SINT0819,Snacks,43.0,6.0,4.23,44.77,0.0863,0,1,2,1,0,sintetico
SINT0302,Vacuno,0.0,2.0,3.85,-1.85,1.925,0,0,6,2,1,sintetico
SINT0011,Cerdo,0.0,3.0,6.16,-3.16,2.0533,0,1,5,2,1,sintetico
0424MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0436MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0171,Limpieza,0.0,5.0,7.43,-2.43,1.486,0,0,4,2,1,sintetico
SINT0366,"Gelatina, postres",0.0,0.0,1.58,-1.58,0.0,0,0,3,0,1,sintetico
SINT0956,"Condimentos, Salsas, cremas",17.0,0.0,1.41,15.59,0.0829,0,0,2,2,0,sintetico
SINT0876,Infusion,16.0,4.0,3.3,16.7,0.165,0,0,3,3,0,sintetico
0030ME,Menestras,11.0,3.0,0.0,14.0,0.0,0,0,0,1,0,real
SINT0673,Fideos,7.0,0.0,0.21,6.61,0.0308,1,0,2,7,0,sintetico
SINT0006,Limpieza,0.0,0.0,2.49,-2.49,0.0,0,0,3,1,1,sintetico
0378IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0604LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0064,Menestras,0.0,0.0,1.95,-1.95,0.0,1,0,7,1,1,sintetico
0031ME,Menestras,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real
0558VA,Vacuno,0.0,0.71,1.0,-0.29000000000000004,1.4084507042253522,0,1,1,1,1,real
0541VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0875,Aceite,22.0,2.0,0.8,23.2,0.0333,0,1,8,8,0,sintetico
0607LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0765,Limpieza,41.0,4.0,0.86,44.14,0.0191,0,1,4,4,0,sintetico
SINT0357,Conserva,0.0,4.0,4.85,-0.85,1.2125,1,0,3,4,1,sintetico
0415LA,Lacteos,0.0,3.0,2.0,1.0,0.6666666666666666,1,0,1,2,1,real
0512AV,Aves,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0306,Vacuno,0.0,8.0,19.61,-11.61,2.4512,0,1,7,0,1,sintetico
0418MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0916,Menestras,33.0,5.0,3.92,34.08,0.1032,0,0,7,6,0,sintetico
0191AZ,Azucar,10.0,11.0,0.0,21.0,0.0,1,0,0,6,0,real
SINT0226,Cerdo,4.0,0.0,0.6,3.24,0.1561,0,0,6,3,1,sintetico
0165CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0274CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0277,Harina,0.0,7.0,15.06,-8.06,2.1514,0,0,7,1,1,sintetico
SINT0813,Aves,30.0,5.0,1.41,33.59,0.0403,0,0,1,5,0,sintetico
0292CN,"Condimentos, Salsas, cremas",7.0,0.0,0.0,7.0,0.0,0,0,0,0,0,real
0619LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0833,Lacteos,40.0,0.0,0.41,39.59,0.0102,0,1,7,2,0,sintetico
SINT0494,Infusion,8.0,3.0,2.58,8.42,0.2345,0,0,2,2,0,sintetico
0033ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0351,Snacks,5.0,8.0,8.84,3.93,0.6922,0,0,5,0,1,sintetico
SINT0507,Fideos,40.0,3.0,1.97,41.03,0.0458,0,1,1,3,0,sintetico
0300CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0576LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0247,"Gelatina, postres",0.0,0.0,0.87,-0.87,0.0,0,1,2,3,1,sintetico
SINT0118,Fideos,5.0,2.0,3.67,3.8,0.4912,0,0,6,1,1,sintetico
SINT0774,Infusion,2.0,4.0,1.11,5.11,0.1784,0,0,4,2,0,sintetico
SINT0516,Fideos,23.0,0.0,0.3,22.7,0.013,0,0,4,3,0,sintetico
SINT0779,Snacks,33.0,0.0,0.04,32.96,0.0012,0,0,1,3,0,sintetico
0223IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0660,Azucar,43.0,4.0,2.1,44.9,0.0447,0,0,6,5,0,sintetico
SINT0521,Limpieza,14.0,4.0,3.45,14.07,0.1969,0,0,3,2,0,sintetico
SINT0330,"Condimentos, Salsas, cremas",0.0,8.0,13.7,-5.7,1.7125,0,1,6,3,1,sintetico
0637LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0327CN,"Condimentos, Salsas, cremas",3.0,0.0,0.0,3.0,0.0,1,1,0,0,1,real
SINT0865,Menestras,27.0,6.0,4.59,28.41,0.1391,0,0,7,7,0,sintetico
0176CR,Cereal,84.0,0.0,0.0,84.0,0.0,0,0,0,0,0,real
0118CO,Conserva,527.0,205.0,71.0,661.0,0.09699453551912568,0,1,5,4,0,real
0061ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0256,Frutos secos,0.0,0.0,0.86,-0.86,0.0,0,1,4,0,1,sintetico
0071ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0781,Lacteos,9.0,0.0,1.8,7.05,0.2035,0,0,2,3,0,sintetico
SINT0235,Aves,6.0,5.0,9.25,1.75,0.8409,0,1,6,3,1,sintetico
SINT0743,Frutos secos,20.0,3.0,1.06,21.94,0.0461,0,1,4,4,0,sintetico
SINT0433,Menestras,49.0,5.0,2.05,51.95,0.038,0,0,1,5,0,sintetico
0171CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0890,Instantaneo,35.0,6.0,3.69,37.31,0.09,0,0,4,3,0,sintetico
SINT0969,"Condimentos, Salsas, cremas",31.0,4.0,2.09,32.91,0.0597,0,0,2,2,0,sintetico
SINT0792,"Gelatina, postres",21.0,0.0,0.05,20.95,0.0024,0,0,2,4,0,sintetico
0138CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0616LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0498,Limpieza,18.0,0.0,1.4,16.6,0.0778,0,0,1,3,0,sintetico
SINT0016,"Condimentos, Salsas, cremas",0.0,0.0,0.61,-0.61,0.0,0,0,5,0,1,sintetico
0345FI,Fideos,51.0,65.0,15.5,100.5,0.1336206896551724,1,0,4,24,0,real
0426MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0080ME,Menestras,5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real
SINT0599,Aceite,48.0,3.0,2.18,48.82,0.0427,0,0,4,4,0,sintetico
SINT0015,Menestras,0.0,0.0,0.21,-0.21,0.0,0,0,7,3,1,sintetico
0417LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0627LI,Limpieza,45.0,0.0,0.0,45.0,0.0,0,0,0,0,0,real
SINT0879,Infusion,47.0,0.0,1.3,45.7,0.0277,0,0,4,3,0,sintetico
SINT0728,Cerdo,26.0,5.0,2.62,28.38,0.0845,0,0,4,5,0,sintetico
SINT0002,Aceite,0.0,6.0,7.32,-1.32,1.22,1,0,3,0,1,sintetico
SINT0168,Limpieza,0.0,0.0,2.28,-2.28,0.0,0,0,6,1,1,sintetico
SINT0026,Menestras,0.0,0.0,1.37,-1.37,0.0,0,1,6,3,1,sintetico
0433MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0548,Infusion,37.0,0.0,0.08,36.92,0.0022,0,0,3,3,0,sintetico
SINT0391,Cereal,0.0,8.0,7.7,0.3,0.9625,0,1,5,2,1,sintetico
0127CO,Conserva,26.0,4.0,0.0,30.0,0.0,1,1,0,4,0,real
SINT0688,Limpieza,17.0,6.0,2.67,20.33,0.1161,0,0,3,5,0,sintetico
SINT0858,Lacteos,35.0,4.0,1.56,37.44,0.04,0,0,5,1,0,sintetico
0262HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0519CE,Cerdo,1.0,8.36,7.0,2.3599999999999994,0.7478632478632479,0,0,1,2,1,real
0500AV,Aves,0.0,1.56,0.0,1.56,0.0,0,1,0,1,1,real
SINT0358,Frutos secos,0.0,3.0,5.65,-2.65,1.8833,0,0,6,3,1,sintetico
0492PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0355FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0504,Aceite,39.0,8.0,3.87,43.13,0.0823,0,0,1,3,0,sintetico
SINT0276,Instantaneo,0.0,1.0,1.16,-0.16,1.16,0,0,5,3,1,sintetico
SINT0384,Aceite,5.0,0.0,0.22,4.78,0.044,0,1,5,1,1,sintetico
0278CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0520CE,Cerdo,0.0,1.605,0.0,1.605,0.0,0,1,0,1,1,real
SINT0164,Limpieza,0.0,0.0,0.89,-0.89,0.0,0,1,5,3,1,sintetico
SINT0918,Cereal,16.0,4.0,1.82,18.18,0.091,0,0,2,4,0,sintetico
SINT0360,"Condimentos, Salsas, cremas",3.0,12.0,11.37,3.85,0.7472,0,0,5,1,1,sintetico
SINT0369,Limpieza,0.0,8.0,19.85,-11.85,2.4812,0,0,4,1,1,sintetico
0412LA,Lacteos,8.0,0.0,0.0,8.0,0.0,0,0,0,0,0,real
SINT0661,Infusion,13.0,6.0,4.19,14.65,0.2224,0,0,5,3,0,sintetico
SINT0981,Limpieza,25.0,5.0,4.01,25.99,0.1337,1,0,3,5,0,sintetico
0075ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0112AC,Aceite,4.0,0.0,0.0,4.0,0.0,0,1,0,0,1,real
SINT0675,Frutos secos,37.0,4.0,3.04,37.96,0.0741,0,0,4,1,0,sintetico
SINT0763,Lacteos,18.0,4.0,1.32,20.68,0.06,0,0,1,2,0,sintetico
0554VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0294,Limpieza,5.0,0.0,1.12,3.96,0.2205,0,0,6,2,1,sintetico
SINT0588,"Condimentos, Salsas, cremas",5.0,6.0,2.03,8.85,0.1866,0,0,1,1,0,sintetico
SINT0326,Vacuno,0.0,2.0,2.53,-0.53,1.265,0,0,1,1,1,sintetico
SINT0274,Infusion,0.0,0.0,1.15,-1.15,0.0,0,0,4,0,1,sintetico
SINT0125,Cereal,0.0,0.0,0.9,-0.9,0.0,0,1,8,1,1,sintetico
0053ME,Menestras,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real
SINT0093,Conserva,0.0,0.0,0.76,-0.76,0.0,0,0,5,2,1,sintetico
0078ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0250HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0262,Limpieza,0.0,4.0,10.07,-6.07,2.5175,0,0,6,0,1,sintetico
0188AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0273CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0489,Aceite,7.0,3.0,1.44,8.56,0.144,0,0,3,3,0,sintetico
0536VA,Vacuno,6.0,0.0,18.0,-12.0,3.0,0,0,3,0,1,real
0126CO,Conserva,3.0,11.0,0.0,14.0,0.0,0,0,0,2,0,real
0254HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0231,Infusion,0.0,0.0,0.15,-0.15,0.0,1,0,6,3,1,sintetico
SINT0586,Menestras,7.0,3.0,1.75,8.14,0.177,0,0,6,3,0,sintetico
SINT0902,Conserva,8.0,3.0,1.87,8.84,0.1747,0,0,3,5,0,sintetico
0590LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0213IN,Instantaneo,2.0,1.0,0.0,3.0,0.0,0,0,0,1,1,real
SINT0979,Limpieza,8.0,4.0,4.01,7.99,0.3342,0,1,4,4,0,sintetico
SINT0146,Harina,0.0,0.0,0.95,-0.95,0.0,1,0,5,1,1,sintetico
SINT0828,Vacuno,33.0,4.0,1.26,35.74,0.0341,0,1,7,2,0,sintetico
0347FI,Fideos,184.0,81.0,38.0,227.0,0.14339622641509434,1,0,12,23,0,real
0588LI,Limpieza,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,real
SINT0348,"Condimentos, Salsas, cremas",1.0,0.0,1.45,-0.45,1.45,0,1,4,1,1,sintetico
SINT0094,Instantaneo,0.0,2.0,5.94,-3.94,2.97,0,0,5,1,1,sintetico
0632LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0666LI,Otros,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0069ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0402LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0319CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0144CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0357FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0445,Conserva,20.0,9.0,3.24,25.76,0.1117,0,0,2,6,0,sintetico
SINT0622,"Mermelada, mantequilla",23.0,3.0,2.47,23.53,0.095,1,0,3,2,0,sintetico
SINT0087,Harina,3.0,0.0,0.28,3.14,0.0819,0,0,2,0,1,sintetico
SINT0831,Aves,11.0,7.0,4.58,13.42,0.2544,0,1,1,4,0,sintetico
SINT0563,Infusion,5.0,6.0,3.37,8.11,0.2935,0,0,8,4,0,sintetico
0264CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0675EM,Otros,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,real
0419MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0920,Aves,23.0,8.0,1.16,29.84,0.0374,0,0,4,4,0,sintetico
SINT0484,Infusion,44.0,3.0,2.23,44.77,0.0474,0,1,2,4,0,sintetico
SINT0975,Menestras,50.0,2.0,1.0,51.0,0.0192,0,1,3,3,0,sintetico
SINT0730,Aves,25.0,2.0,1.34,25.66,0.0496,0,0,2,3,0,sintetico
0187AZ,Azucar,2.0,5.0,0.0,7.0,0.0,1,0,0,4,0,real
SINT0951,Snacks,46.0,0.0,2.93,43.07,0.0637,0,1,1,2,0,sintetico
0356FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0298,Harina,0.0,0.0,1.55,-1.55,0.0,0,0,3,1,1,sintetico
0354FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0496AV,Aves,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0607,Snacks,27.0,5.0,1.12,30.88,0.035,0,1,6,6,0,sintetico
SINT0148,Limpieza,0.0,3.0,5.56,-2.56,1.8533,0,0,4,4,1,sintetico
SINT0987,Vacuno,39.0,3.0,3.51,38.49,0.0836,0,0,3,4,0,sintetico
SINT0662,"Condimentos, Salsas, cremas",11.0,3.0,2.32,11.31,0.1702,0,1,5,4,0,sintetico
0240HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0392,"Condimentos, Salsas, cremas",6.0,7.0,11.99,1.01,0.9223,0,0,6,0,1,sintetico
SINT0723,"Condimentos, Salsas, cremas",17.0,7.0,2.33,21.67,0.0971,0,0,4,3,0,sintetico
SINT0572,"Condimentos, Salsas, cremas",6.0,7.0,4.34,8.66,0.3338,0,0,5,5,0,sintetico
0430MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0645,Limpieza,6.0,4.0,3.36,6.89,0.3279,0,0,6,5,0,sintetico
SINT0042,Limpieza,0.0,4.0,11.49,-7.49,2.8725,0,1,5,4,1,sintetico
0677EM,Otros,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0959,"Condimentos, Salsas, cremas",36.0,9.0,2.54,42.46,0.0564,0,0,4,3,0,sintetico
0483PE,Pescado,0.0,10.0,29.0,-19.0,2.9,0,0,4,1,1,real
SINT0715,Conserva,10.0,0.0,0.89,8.97,0.0903,0,0,2,2,0,sintetico
SINT0122,"Condimentos, Salsas, cremas",0.0,6.0,8.3,-2.3,1.3833,0,0,3,4,1,sintetico
SINT0808,Infusion,10.0,0.0,0.94,9.06,0.094,0,0,5,2,0,sintetico
SINT0738,Fideos,43.0,4.0,1.83,45.17,0.0389,0,0,4,4,0,sintetico
SINT0731,Menestras,12.0,8.0,1.68,18.32,0.084,0,1,3,3,0,sintetico
SINT0734,Frutos secos,14.0,7.0,5.21,15.79,0.2481,0,0,2,2,0,sintetico
SINT0595,Menestras,8.0,3.0,2.72,8.73,0.2376,0,0,5,3,0,sintetico
SINT0334,Limpieza,0.0,0.0,0.46,-0.46,0.0,0,0,7,1,1,sintetico
SINT0992,"Condimentos, Salsas, cremas",24.0,2.0,1.18,24.82,0.0454,0,1,2,3,0,sintetico
0243HA,Harina,0.0,0.0,1.0,-1.0,0.0,0,0,1,0,1,real
SINT0429,Cereal,38.0,0.0,0.46,37.54,0.0121,0,0,0,4,0,sintetico
SINT0972,Menestras,45.0,4.0,1.21,47.79,0.0247,0,0,2,3,0,sintetico
0305CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0806,Cereal,43.0,2.0,1.93,43.07,0.0429,0,0,3,3,0,sintetico
SINT0736,Conserva,21.0,0.0,0.07,20.93,0.0033,0,0,2,5,0,sintetico
SINT0695,Instantaneo,26.0,4.0,2.54,27.46,0.0847,0,0,1,1,0,sintetico
SINT0700,Azucar,26.0,5.0,2.26,28.74,0.0729,0,0,5,3,0,sintetico
0420MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0173CR,Cereal,6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real
SINT0104,"Mermelada, mantequilla",0.0,5.0,9.8,-4.8,1.96,0,0,5,2,1,sintetico
SINT0467,Menestras,42.0,0.0,0.03,41.97,0.0007,0,0,6,4,0,sintetico
SINT0604,Limpieza,43.0,4.0,2.25,44.75,0.0479,0,0,4,3,0,sintetico
0046ME,Menestras,1.0,1.0,2.5,-0.5,1.25,0,0,3,1,1,real
SINT0290,Limpieza,0.0,7.0,10.39,-3.39,1.4843,0,0,1,4,1,sintetico
SINT0687,Menestras,50.0,0.0,0.61,49.39,0.0122,0,0,3,1,0,sintetico
0535VA,Vacuno,2.0,2.0,0.0,4.0,0.0,1,0,0,2,1,real
0617LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0455SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0674,Menestras,27.0,6.0,3.34,29.66,0.1012,0,1,0,4,0,sintetico
SINT0546,Azucar,25.0,4.0,1.42,27.58,0.049,0,0,2,4,0,sintetico
0437FS,Frutos secos,2.0,0.0,0.0,2.0,0.0,0,0,0,0,1,real
0566LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0178CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0904,Instantaneo,15.0,5.0,2.85,17.15,0.1425,0,0,4,2,0,sintetico
SINT0963,Menestras,34.0,5.0,1.92,37.08,0.0492,0,0,4,4,0,sintetico
0370IN,Infusion,11.0,0.0,0.0,11.0,0.0,0,0,0,0,0,real
0671EM,Embutidos,0.0,7.0,0.0,7.0,0.0,1,0,0,3,0,real
SINT0131,Menestras,1.0,5.0,11.79,-5.79,1.965,0,0,6,3,1,sintetico
SINT0113,Lacteos,0.0,7.0,12.39,-5.39,1.77,0,0,3,1,1,sintetico
0201AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0016ME,Menestras,5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real
0501AV,Aves,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
SINT0127,Snacks,0.0,0.0,0.37,-0.37,0.0,0,0,3,1,1,sintetico
SINT0537,Instantaneo,30.0,4.0,3.43,30.57,0.1009,0,0,0,3,0,sintetico
0409LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0649LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0045,Azucar,0.0,2.0,3.66,-1.66,1.83,0,0,6,3,1,sintetico
SINT0225,Menestras,0.0,6.0,15.95,-9.95,2.6583,0,0,4,0,1,sintetico
0528CE,Cerdo,4.0,3.98,1.0,6.98,0.12531328320802004,0,0,1,4,0,real
0202AZ,Azucar,2.0,0.0,0.0,2.0,0.0,0,0,0,0,1,real
SINT0492,Frutos secos,34.0,7.0,3.15,37.85,0.0768,0,0,1,3,0,sintetico
0386IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0152,Limpieza,0.0,5.0,9.33,-4.33,1.866,0,0,3,5,1,sintetico
SINT0289,Conserva,0.0,6.0,7.71,-1.71,1.285,0,0,4,4,1,sintetico
SINT0919,"Condimentos, Salsas, cremas",20.0,0.0,0.73,19.27,0.0365,0,0,6,3,0,sintetico
SINT0212,Azucar,0.0,4.0,7.52,-3.52,1.88,0,0,4,2,1,sintetico
SINT0220,Azucar,0.0,9.0,7.84,1.16,0.8711,1,1,3,1,1,sintetico
SINT0272,Snacks,0.0,4.0,9.9,-5.9,2.475,0,0,5,1,1,sintetico
0058ME,Menestras,3.0,9.0,3.0,9.0,0.25,1,0,1,6,0,real
SINT0359,Conserva,0.0,2.0,5.14,-3.14,2.57,0,0,5,3,1,sintetico
0045ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0102AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
