codigo_articulo,categoria,semana_del_año,ocupacion_albergue,stock_inicio_semana,ingresos_semana,salidas_semana,stock_fin_semana,rolling_avg_salidas_3sem,alerta_7_dias,alerta_14_dias,nombre_producto,presentacion,unidad_medida,categoria_general,es_producto
0018ME,Menestras,3,46,0.48,0.0,0.04,0.44,0.0433,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,4,57,0.44,0.0,0.06,0.38,0.0467,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,5,49,0.38,0.0,0.05,0.33,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,6,59,0.33,0.0,0.06,0.27,0.0567,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,7,41,0.27,0.0,0.04,0.23,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,8,48,0.23,0.0,0.05,0.18,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,9,58,0.18,0.0,0.06,0.12,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,10,50,0.12,0.0,0.06,0.06,0.0567,0,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,11,43,0.06,0.0,0.05,0.01,0.0567,1,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,12,57,0.01,0.2,0.07,0.14,0.06,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,13,42,0.14,0.0,0.05,0.09,0.0567,0,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,14,40,0.09,0.0,0.05,0.04,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,15,55,0.04,0.0,0.06,-0.02,0.0533,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,16,56,-0.02,0.0,0.06,-0.08,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,17,55,-0.08,0.17,0.06,0.03,0.06,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,18,45,0.03,0.0,0.05,-0.02,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,19,58,-0.02,0.0,0.07,-0.09,0.06,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,20,40,-0.09,0.0,0.04,-0.13,0.0533,1,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,21,40,-0.13,0.23,0.04,0.06,0.05,0,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,22,53,0.06,0.0,0.05,0.01,0.0433,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,23,42,0.01,0.0,0.04,-0.03,0.0433,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,24,53,-0.03,0.0,0.05,-0.08,0.0467,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,25,42,-0.08,0.0,0.04,-0.12,0.0433,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,26,40,-0.12,0.0,0.04,-0.16,0.0433,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,27,57,-0.16,0.0,0.06,-0.22,0.0467,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,28,47,-0.22,0.14,0.05,-0.13,0.05,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,29,54,-0.13,0.0,0.06,-0.19,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,30,41,-0.19,0.0,0.05,-0.24,0.0533,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,31,47,-0.24,0.0,0.06,-0.3,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,32,49,-0.3,0.0,0.06,-0.36,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,33,42,-0.36,0.0,0.05,-0.41,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,34,46,-0.41,0.0,0.05,-0.46,0.0533,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,35,52,-0.46,0.11,0.06,-0.41,0.0533,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,36,58,-0.41,0.0,0.06,-0.47,0.0567,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,37,41,-0.47,0.21,0.04,-0.3,0.0533,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,38,56,-0.3,0.25,0.06,-0.11,0.0533,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,39,50,-0.11,0.19,0.05,0.03,0.05,1,1,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,40,44,0.03,0.0,0.05,-0.02,0.0533,1,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,41,45,-0.02,0.2,0.06,0.12,0.0533,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,42,59,0.12,0.28,0.06,0.34,0.0567,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,43,49,0.34,0.0,0.05,0.29,0.0567,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,44,44,0.29,0.11,0.05,0.35,0.0533,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,45,48,0.35,0.0,0.06,0.29,0.0533,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,46,55,0.29,0.27,0.06,0.5,0.0567,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,47,40,0.5,0.0,0.04,0.46,0.0533,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,48,42,0.46,0.0,0.05,0.41,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,49,55,0.41,0.12,0.05,0.48,0.0467,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,50,54,0.48,0.26,0.05,0.69,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,51,59,0.69,0.1,0.05,0.74,0.05,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0018ME,Menestras,52,43,0.74,0.18,0.04,0.88,0.0467,0,0,Frejol Castilla 1 kg,1 kg,kg,Menestras,True
0034ME,Menestras,1,49,0.66,0.0,0.13,0.53,0.13,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,2,49,0.53,0.0,0.13,0.4,0.13,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,3,40,0.4,0.0,0.12,0.28,0.1267,0,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,4,55,0.28,0.0,0.19,0.09,0.1467,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,5,56,0.09,0.0,0.19,-0.1,0.1667,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,6,51,-0.1,0.0,0.16,-0.26,0.18,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,7,40,-0.26,0.0,0.13,-0.39,0.16,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,8,42,-0.39,0.0,0.12,-0.51,0.1367,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,9,47,-0.51,0.0,0.14,-0.65,0.13,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,10,56,-0.65,0.0,0.2,-0.85,0.1533,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,11,49,-0.85,0.75,0.18,-0.28,0.1733,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,12,60,-0.28,0.0,0.21,-0.49,0.1967,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,13,50,-0.49,0.0,0.18,-0.67,0.19,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,14,43,-0.67,0.71,0.15,-0.11,0.18,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,15,42,-0.11,0.0,0.15,-0.26,0.16,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,16,46,-0.26,0.0,0.16,-0.42,0.1533,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,17,44,-0.42,0.0,0.15,-0.57,0.1533,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,18,42,-0.57,0.8,0.14,0.09,0.15,1,1,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,19,59,0.09,0.0,0.19,-0.1,0.16,1,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,20,56,-0.1,0.83,0.17,0.56,0.1667,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,21,58,0.56,0.47,0.21,0.82,0.19,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,22,60,0.82,0.63,0.2,1.25,0.1933,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,23,59,1.25,0.0,0.19,1.06,0.2,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,24,46,1.06,0.57,0.14,1.49,0.1767,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,25,46,1.49,0.0,0.17,1.32,0.1667,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,26,54,1.32,0.72,0.16,1.88,0.1567,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,27,51,1.88,0.0,0.15,1.73,0.16,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,28,47,1.73,0.76,0.18,2.31,0.1633,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,29,41,2.31,0.33,0.15,2.49,0.16,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,30,46,2.49,0.0,0.16,2.33,0.1633,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,31,43,2.33,0.0,0.14,2.19,0.15,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,32,51,2.19,0.0,0.21,1.98,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,33,49,1.98,0.0,0.16,1.82,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,34,52,1.82,0.0,0.19,1.63,0.1867,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,35,59,1.63,0.35,0.22,1.76,0.19,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,36,52,1.76,0.0,0.17,1.59,0.1933,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,37,56,1.59,0.59,0.19,1.99,0.1933,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,38,52,1.99,0.0,0.15,1.84,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,39,54,1.84,0.0,0.16,1.68,0.1667,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,40,44,1.68,0.0,0.13,1.55,0.1467,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,41,58,1.55,0.0,0.22,1.33,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,42,53,1.33,0.0,0.16,1.17,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,43,40,1.17,0.0,0.13,1.04,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,44,50,1.04,0.0,0.15,0.89,0.1467,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,45,55,0.89,0.0,0.21,0.68,0.1633,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,46,47,0.68,0.66,0.15,1.19,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,47,47,1.19,0.0,0.15,1.04,0.17,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,48,48,1.04,0.0,0.14,0.9,0.1467,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,49,56,0.9,0.0,0.18,0.72,0.1567,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,50,55,0.72,0.81,0.17,1.36,0.1633,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,51,45,1.36,0.0,0.13,1.23,0.16,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0034ME,Menestras,52,41,1.23,0.79,0.13,1.89,0.1433,0,0,Lenteja 500 gr,500 gr,kg,Menestras,True
0035ME,Menestras,1,44,0.47,0.28,0.06,0.69,0.06,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,2,56,0.69,0.0,0.09,0.6,0.075,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,3,41,0.6,0.2,0.06,0.74,0.07,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,4,44,0.74,0.0,0.09,0.65,0.08,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,5,60,0.65,0.0,0.11,0.54,0.0867,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,6,58,0.54,0.0,0.1,0.44,0.1,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,7,53,0.44,0.24,0.1,0.58,0.1033,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,8,40,0.58,0.0,0.07,0.51,0.09,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,9,41,0.51,0.0,0.07,0.44,0.08,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,10,41,0.44,0.0,0.08,0.36,0.0733,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,11,42,0.36,0.0,0.08,0.28,0.0767,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,12,44,0.28,0.41,0.09,0.6,0.0833,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,13,56,0.6,0.17,0.11,0.66,0.0933,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,14,41,0.66,0.0,0.09,0.57,0.0967,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,15,46,0.57,0.16,0.08,0.65,0.0933,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,16,54,0.65,0.0,0.11,0.54,0.0933,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,17,41,0.54,0.0,0.08,0.46,0.09,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,18,49,0.46,0.0,0.08,0.38,0.09,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,19,44,0.38,0.0,0.08,0.3,0.08,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,20,56,0.3,0.0,0.09,0.21,0.0833,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,21,44,0.21,0.0,0.09,0.12,0.0867,0,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,22,50,0.12,0.0,0.08,0.04,0.0867,1,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,23,50,0.04,0.2,0.08,0.16,0.0833,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,24,47,0.16,0.0,0.09,0.07,0.0833,0,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,25,42,0.07,0.0,0.07,0.0,0.08,1,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,26,58,0.0,0.21,0.09,0.12,0.0833,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,27,49,0.12,0.19,0.08,0.23,0.08,0,0,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,28,53,0.23,0.0,0.11,0.12,0.0933,0,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,29,53,0.12,0.0,0.1,0.02,0.0967,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,30,54,0.02,0.0,0.1,-0.08,0.1033,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,31,54,-0.08,0.0,0.1,-0.18,0.1,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,32,56,-0.18,0.0,0.12,-0.3,0.1067,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,33,40,-0.3,0.35,0.07,-0.02,0.0967,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,34,53,-0.02,0.0,0.1,-0.12,0.0967,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,35,53,-0.12,0.0,0.11,-0.23,0.0933,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,36,54,-0.23,0.0,0.1,-0.33,0.1033,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,37,50,-0.33,0.0,0.08,-0.41,0.0967,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,38,42,-0.41,0.0,0.08,-0.49,0.0867,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,39,44,-0.49,0.34,0.09,-0.24,0.0833,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,40,52,-0.24,0.0,0.09,-0.33,0.0867,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,41,43,-0.33,0.0,0.07,-0.4,0.0833,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,42,43,-0.4,0.0,0.09,-0.49,0.0833,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,43,41,-0.49,0.0,0.08,-0.57,0.08,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,44,49,-0.57,0.0,0.1,-0.67,0.09,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,45,45,-0.67,0.0,0.09,-0.76,0.09,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,46,52,-0.76,0.0,0.09,-0.85,0.0933,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,47,40,-0.85,0.23,0.07,-0.69,0.0833,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,48,50,-0.69,0.41,0.11,-0.39,0.09,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,49,48,-0.39,0.33,0.07,-0.13,0.0833,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,50,45,-0.13,0.0,0.06,-0.19,0.08,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
0035ME,Menestras,51,50,-0.19,0.0,0.08,-0.27,0.07,1,1,Lenteja 1 kg,1 kg,kg,Menestras,True
