codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen,nombre_producto,presentacion,unidad_medida,categoria_general,es_producto
SINT0039,Cereal,2.0,0.0,0.53,1.47,0.265,0,0,4,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0247HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina 7 semillas 200 gr,200 gr,kg,Cereales y farináceos,True
SINT0063,"Condimentos, Salsas, cremas",5.0,0.0,1.22,3.46,0.2606,0,0,4,4,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0691,"Condimentos, Salsas, cremas",40.0,3.0,3.23,39.77,0.0751,0,0,5,2,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
03014CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,SALVIA,,unidad,Abarrotes,True
SINT0337,Aves,0.0,7.0,18.03,-11.03,2.5757,0,0,5,0,1,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
SINT0568,Aceite,48.0,6.0,4.0,50.0,0.0741,0,0,5,3,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0929,Huevos,19.0,4.0,3.72,19.28,0.1617,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,unidad,Avícolas,False
0242HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de almendra,,kg,Cereales y farináceos,True
SINT0558,Limpieza,17.0,0.0,0.27,16.73,0.0159,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0770,Vacuno,50.0,7.0,4.52,52.48,0.0793,0,0,4,6,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0024ME,Menestras,6.0,1.0,0.0,7.0,0.0,1,0,0,1,0,real,Frejol Panamito 500 gr,500 gr,kg,Menestras,True
0302CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,PIMIENTA ENTERA NEGRA,,unidad,Abarrotes,True
0342GE,"Gelatina, postres",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
0371IN,Infusion,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,real,Hierba Luisa 25 und,25 und,caja,Bebidas e infusiones,True
0385IN,Infusion,3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real,Te verde 50 und,50 und,caja,Bebidas e infusiones,True
SINT0754,"Mermelada, mantequilla",30.0,4.0,3.39,30.61,0.0997,0,1,2,6,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0101AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Aceite de OlivaExtra Virgen200 ml,,litro,Abarrotes,True
SINT0308,Instantaneo,13.0,6.0,14.11,4.89,0.7426,0,0,3,3,1,sintetico,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
0467SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
0067ME,Menestras,2.0,0.0,0.5,1.5,0.25,0,0,1,0,1,real,Quinua 5 kg,5 kg,kg,Menestras,True
SINT0324,"Gelatina, postres",0.0,7.0,11.4,-4.4,1.6286,0,0,4,1,1,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
0681COR,Cordero,0.0,3.0,0.0,3.0,0.0,1,0,0,1,1,real,Cabrito en trozo,,kg,Cárnicos y pescados,True
SINT0819,Snacks,43.0,6.0,4.23,44.77,0.0863,0,1,2,1,0,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0302,Vacuno,0.0,2.0,3.85,-1.85,1.925,0,0,6,2,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0011,Cerdo,0.0,3.0,6.16,-3.16,2.0533,0,1,5,2,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0424MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Margarina 200 gr,200 gr,unidad,Abarrotes,True
0436MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0171,Limpieza,0.0,5.0,7.43,-2.43,1.486,0,0,4,2,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0366,"Gelatina, postres",0.0,0.0,1.58,-1.58,0.0,0,0,3,0,1,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
SINT0956,"Condimentos, Salsas, cremas",17.0,0.0,1.41,15.59,0.0829,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0876,Infusion,16.0,4.0,3.3,16.7,0.165,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
0030ME,Menestras,11.0,3.0,0.0,14.0,0.0,0,0,0,1,0,real,Garbanzo 500gr,500 gr,kg,Menestras,True
SINT0673,Fideos,7.0,0.0,0.21,6.61,0.0308,1,0,2,7,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0006,Limpieza,0.0,0.0,2.49,-2.49,0.0,0,0,3,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0378IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Infusion digestiva 100 und,100 und,caja,Bebidas e infusiones,True
0604LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Limpiador Multiusos Antibacteria 4 lt,4 lt,unidad,Limpieza e higiene,True
SINT0064,Menestras,0.0,0.0,1.95,-1.95,0.0,1,0,7,1,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0031ME,Menestras,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real,Garbanzo 1 kl,1 kg,kg,Menestras,True
0558VA,Vacuno,0.0,0.71,1.0,-0.29,1.4084507042253522,0,1,1,1,1,real,Asado de tira,,kg,Cárnicos y pescados,True
0541VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Higado de res 1 kl,1 kg,kg,Cárnicos y pescados,True
SINT0875,Aceite,22.0,2.0,0.8,23.2,0.0333,0,1,8,8,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0607LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Limpiador Multiusos Antibacteria 20 Lt,20 lt,unidad,Limpieza e higiene,True
SINT0765,Limpieza,41.0,4.0,0.86,44.14,0.0191,0,1,4,4,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0357,Conserva,0.0,4.0,4.85,-0.85,1.2125,1,0,3,4,1,sintetico,Registro técnico (sin descripción),,lata,Conservas,False
0415LA,Lacteos,0.0,3.0,2.0,1.0,0.6666666666666666,1,0,1,2,1,real,Yogurt 1 lt,1 lt,lata,Lácteos,True
0512AV,Aves,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Carne molida de pollo,,kg,Avícolas,True
SINT0306,Vacuno,0.0,8.0,19.61,-11.61,2.4512,0,1,7,0,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0418MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Mermelada 310 gr,310 gr,unidad,Abarrotes,True
SINT0916,Menestras,33.0,5.0,3.92,34.08,0.1032,0,0,7,6,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0191AZ,Azucar,10.0,11.0,0.0,21.0,0.0,1,0,0,6,0,real,Azucar rubia 2 kg,2 kg,kg,Abarrotes,True
SINT0226,Cerdo,4.0,0.0,0.6,3.24,0.1561,0,0,6,3,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0165CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Arroz Integral 5 kg,5 kg,kg,Cereales y farináceos,True
0274CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Sillao 5 lt,5 lt,unidad,Abarrotes,True
SINT0277,Harina,0.0,7.0,15.06,-8.06,2.1514,0,0,7,1,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0813,Aves,30.0,5.0,1.41,33.59,0.0403,0,0,1,5,0,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
0292CN,"Condimentos, Salsas, cremas",7.0,0.0,0.0,7.0,0.0,0,0,0,0,0,real,Oregano 1 kl,1 kg,unidad,Abarrotes,True
0619LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Lavavajilla 400gr pote,400 gr,unidad,Limpieza e higiene,True
SINT0833,Lacteos,40.0,0.0,0.41,39.59,0.0102,0,1,7,2,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0494,Infusion,8.0,3.0,2.58,8.42,0.2345,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
0033ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Garbanzo 10 kg,10 kg,kg,Menestras,True
SINT0351,Snacks,5.0,8.0,8.84,3.93,0.6922,0,0,5,0,1,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0507,Fideos,40.0,3.0,1.97,41.03,0.0458,0,1,1,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0300CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,AJINOMOTO,,unidad,Abarrotes,True
0576LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Detergente líquido 10 L,10 lt,unidad,Limpieza e higiene,True
SINT0247,"Gelatina, postres",0.0,0.0,0.87,-0.87,0.0,0,1,2,3,1,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
SINT0118,Fideos,5.0,2.0,3.67,3.8,0.4912,0,0,6,1,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0774,Infusion,2.0,4.0,1.11,5.11,0.1784,0,0,4,2,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0516,Fideos,23.0,0.0,0.3,22.7,0.013,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0779,Snacks,33.0,0.0,0.04,32.96,0.0012,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
0223IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Fortificante Instantaneo 380,,unidad,Bebidas e infusiones,True
SINT0660,Azucar,43.0,4.0,2.1,44.9,0.0447,0,0,6,5,0,sintetico,Registro técnico (sin descripción),,kg,Abarrotes,False
SINT0521,Limpieza,14.0,4.0,3.45,14.07,0.1969,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0330,"Condimentos, Salsas, cremas",0.0,8.0,13.7,-5.7,1.7125,0,1,6,3,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0637LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Cepillo de escoba,,unidad,Limpieza e higiene,True
0327CN,"Condimentos, Salsas, cremas",3.0,0.0,0.0,3.0,0.0,1,1,0,0,1,real,Canela entera 1 kg,1 kg,unidad,Abarrotes,True
SINT0865,Menestras,27.0,6.0,4.59,28.41,0.1391,0,0,7,7,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0176CR,Cereal,84.0,0.0,0.0,84.0,0.0,0,0,0,0,0,real,Maizena 100 GR,100 gr,kg,Cereales y farináceos,True
0118CO,Conserva,527.0,205.0,71.0,661.0,0.0969945355191256,0,1,5,4,0,real,Trozo de atun aceite lata,lata,lata,Conservas,True
0061ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Papa Seca 10 kg,10 kg,kg,Menestras,True
SINT0256,Frutos secos,0.0,0.0,0.86,-0.86,0.0,0,1,4,0,1,sintetico,Registro técnico (sin descripción),,kg,Snacks y dulces,False
0071ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Quinua Negra 5 kg,5 kg,kg,Menestras,True
SINT0781,Lacteos,9.0,0.0,1.8,7.05,0.2035,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0235,Aves,6.0,5.0,9.25,1.75,0.8409,0,1,6,3,1,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
SINT0743,Frutos secos,20.0,3.0,1.06,21.94,0.0461,0,1,4,4,0,sintetico,Registro técnico (sin descripción),,kg,Snacks y dulces,False
SINT0433,Menestras,49.0,5.0,2.05,51.95,0.038,0,0,1,5,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0171CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Granola 500 gr,500 gr,kg,Cereales y farináceos,True
SINT0890,Instantaneo,35.0,6.0,3.69,37.31,0.09,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
SINT0969,"Condimentos, Salsas, cremas",31.0,4.0,2.09,32.91,0.0597,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0792,"Gelatina, postres",21.0,0.0,0.05,20.95,0.0024,0,0,2,4,0,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
0138CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Frejol Negro 425 gr,425 gr,lata,Conservas,True
0616LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Sacasarro 500 ml,500 ml,unidad,Limpieza e higiene,True
SINT0498,Limpieza,18.0,0.0,1.4,16.6,0.0778,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0016,"Condimentos, Salsas, cremas",0.0,0.0,0.61,-0.61,0.0,0,0,5,0,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0345FI,Fideos,51.0,65.0,15.5,100.5,0.1336206896551724,1,0,4,24,0,real,Fideos largos 900 gr,900 gr,kg,Cereales y farináceos,True
0426MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Manteca 200 gr,200 gr,unidad,Abarrotes,True
0080ME,Menestras,5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real,Trigo 500 gr,500 gr,kg,Menestras,True
SINT0599,Aceite,48.0,3.0,2.18,48.82,0.0427,0,0,4,4,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0015,Menestras,0.0,0.0,0.21,-0.21,0.0,0,0,7,3,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0417LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Leche evaporada tetra pack,,lata,Lácteos,True
0627LI,Limpieza,45.0,0.0,0.0,45.0,0.0,0,0,0,0,0,real,Esponja multiusos para lavar,,unidad,Limpieza e higiene,True
SINT0879,Infusion,47.0,0.0,1.3,45.7,0.0277,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0728,Cerdo,26.0,5.0,2.62,28.38,0.0845,0,0,4,5,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0002,Aceite,0.0,6.0,7.32,-1.32,1.22,1,0,3,0,1,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0168,Limpieza,0.0,0.0,2.28,-2.28,0.0,0,0,6,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0026,Menestras,0.0,0.0,1.37,-1.37,0.0,0,1,6,3,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0433MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0548,Infusion,37.0,0.0,0.08,36.92,0.0022,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0391,Cereal,0.0,8.0,7.7,0.3,0.9625,0,1,5,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0127CO,Conserva,26.0,4.0,0.0,30.0,0.0,1,1,0,4,0,real,Duraznos en mitades 820 gr,820 gr,lata,Conservas,True
SINT0688,Limpieza,17.0,6.0,2.67,20.33,0.1161,0,0,3,5,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0858,Lacteos,35.0,4.0,1.56,37.44,0.04,0,0,5,1,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
0262HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0519CE,Cerdo,1.0,8.36,7.0,2.3599999999999994,0.7478632478632479,0,0,1,2,1,real,Panceta sin hueso,,kg,Cárnicos y pescados,True
0500AV,Aves,0.0,1.56,0.0,1.56,0.0,0,1,0,1,1,real,Higado de pollo,,kg,Avícolas,True
SINT0358,Frutos secos,0.0,3.0,5.65,-2.65,1.8833,0,0,6,3,1,sintetico,Registro técnico (sin descripción),,kg,Snacks y dulces,False
0492PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0355FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Fideos cortos sin gluten,,kg,Cereales y farináceos,True
SINT0504,Aceite,39.0,8.0,3.87,43.13,0.0823,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0276,Instantaneo,0.0,1.0,1.16,-0.16,1.16,0,0,5,3,1,sintetico,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
SINT0384,Aceite,5.0,0.0,0.22,4.78,0.044,0,1,5,1,1,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0278CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Ketchup 850 gr,850 gr,unidad,Abarrotes,True
0520CE,Cerdo,0.0,1.605,0.0,1.605,0.0,0,1,0,1,1,real,Chuleta de pierna,,kg,Cárnicos y pescados,True
SINT0164,Limpieza,0.0,0.0,0.89,-0.89,0.0,0,1,5,3,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0918,Cereal,16.0,4.0,1.82,18.18,0.091,0,0,2,4,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0360,"Condimentos, Salsas, cremas",3.0,12.0,11.37,3.85,0.7472,0,0,5,1,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0369,Limpieza,0.0,8.0,19.85,-11.85,2.4812,0,0,4,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0412LA,Lacteos,8.0,0.0,0.0,8.0,0.0,0,0,0,0,0,real,Leche complemento,,lata,Lácteos,True
SINT0661,Infusion,13.0,6.0,4.19,14.65,0.2224,0,0,5,3,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0981,Limpieza,25.0,5.0,4.01,25.99,0.1337,1,0,3,5,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0075ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Quinua tricolor 10 kg,10 kg,kg,Menestras,True
0112AC,Aceite,4.0,0.0,0.0,4.0,0.0,0,1,0,0,1,real,Aceite de oliva 4 lt,4 lt,litro,Abarrotes,True
SINT0675,Frutos secos,37.0,4.0,3.04,37.96,0.0741,0,0,4,1,0,sintetico,Registro técnico (sin descripción),,kg,Snacks y dulces,False
SINT0763,Lacteos,18.0,4.0,1.32,20.68,0.06,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
0554VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Osobuco,,kg,Cárnicos y pescados,True
SINT0294,Limpieza,5.0,0.0,1.12,3.96,0.2205,0,0,6,2,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0588,"Condimentos, Salsas, cremas",5.0,6.0,2.03,8.85,0.1866,0,0,1,1,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0326,Vacuno,0.0,2.0,2.53,-0.53,1.265,0,0,1,1,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0274,Infusion,0.0,0.0,1.15,-1.15,0.0,0,0,4,0,1,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0125,Cereal,0.0,0.0,0.9,-0.9,0.0,0,1,8,1,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0053ME,Menestras,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real,Pallar 5 kg,5 kg,kg,Menestras,True
SINT0093,Conserva,0.0,0.0,0.76,-0.76,0.0,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,lata,Conservas,False
0078ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Soya 1 kg,1 kg,kg,Menestras,True
0250HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de camote 200 gr,200 gr,kg,Cereales y farináceos,True
SINT0262,Limpieza,0.0,4.0,10.07,-6.07,2.5175,0,0,6,0,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0188AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Azucar blanca 10 kg,10 kg,kg,Abarrotes,True
0273CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Sillao 500 ml,500 ml,unidad,Abarrotes,True
SINT0489,Aceite,7.0,3.0,1.44,8.56,0.144,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0536VA,Vacuno,6.0,0.0,18.0,-12.0,3.0,0,0,3,0,1,real,Carne Molida,,kg,Cárnicos y pescados,True
0126CO,Conserva,3.0,11.0,0.0,14.0,0.0,0,0,0,2,0,real,Piña en almibar 500 gr lata,500 gr,lata,Conservas,True
0254HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de yuca,,kg,Cereales y farináceos,True
SINT0231,Infusion,0.0,0.0,0.15,-0.15,0.0,1,0,6,3,1,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
