id_ml_costo,id_semana,semana_inicio,anio,mes,semana_iso,id_producto,id_categoria,familias_activas,pacientes_activos,pacientes_alta_criticidad,nuevos_casos,reingresos,ocupacion_albergue,campania_donacion_activa,indice_donaciones_entrantes,temporada_invierno,temporada_navidad,stock_inicio_semana,ingresos_semana,cantidad_necesaria,cantidad_entregada,demanda_no_cubierta,stock_fin_semana,precio_unitario_estimado,rolling_cantidad_4sem,rolling_costo_4sem,rolling_no_cubierta_4sem,rolling_precio_4sem,target_cantidad_siguiente_semana,target_costo_siguiente_semana
69,69,2024-10-21,2024,10,43,1,1,76,93,16,1,4,0.775,0,0.837,0,0,0,35,20,20,0,15,19.8,16.25,311.425,2.25,19.205,16.0,317.44
70,70,2024-10-28,2024,10,44,1,1,70,85,18,1,6,0.76,1,0.995,0,0,15,16,16,16,0,15,19.84,17.75,341.125,1.0,19.205000000000002,15.0,296.4
71,71,2024-11-04,2024,11,45,1,1,77,92,21,6,3,0.749,1,0.929,0,1,15,17,15,15,0,17,19.76,17.0,331.66,1.0,19.490000000000002,17.0,331.67
72,72,2024-11-11,2024,11,46,1,1,85,98,19,2,7,0.852,0,0.542,0,1,17,6,17,17,0,6,19.51,17.0,334.06,1.0,19.65,16.0,316.48
73,73,2024-11-18,2024,11,47,1,1,74,81,19,2,8,0.767,1,1.012,0,1,6,0,16,6,10,0,19.78,17.0,335.3775,0.0,19.7275,15.0,304.8
74,74,2024-11-25,2024,11,48,1,1,76,84,15,4,7,0.676,0,0.51,0,1,0,18,15,15,0,3,20.32,16.0,315.4975,2.5,19.722500000000004,16.0,303.36
75,75,2024-12-02,2024,12,49,1,1,70,80,12,3,10,0.683,0,0.627,0,1,3,0,16,3,13,0,18.96,15.75,312.3375,2.5,19.8425,15.0,307.95
76,76,2024-12-09,2024,12,50,1,1,74,88,16,5,9,0.77,0,0.517,0,1,0,22,15,15,0,7,20.53,16.0,314.07750000000004,5.75,19.6425,18.0,365.76
77,77,2024-12-16,2024,12,51,1,1,79,89,12,2,8,0.775,0,0.492,0,1,7,17,18,18,0,6,20.32,15.5,308.14750000000004,5.75,19.8975,17.0,350.88
78,78,2024-12-23,2024,12,52,1,1,82,95,18,3,6,0.847,1,0.834,0,1,6,16,17,17,0,5,20.64,16.0,320.4675,3.25,20.0325,14.0,287.7
79,79,2024-12-30,2024,12,1,1,1,68,77,10,5,9,0.723,0,0.521,0,1,5,12,14,14,0,3,20.55,16.5,331.9875,3.25,20.1125,16.0,310.56
80,80,2025-01-06,2025,1,2,1,1,78,96,15,3,5,0.816,0,0.619,0,0,3,19,16,16,0,6,19.41,16.0,328.0725,0.0,20.51,19.0,365.56
81,81,2025-01-13,2025,1,3,1,1,83,107,22,3,6,0.775,0,0.872,0,0,6,0,19,6,13,0,19.24,16.25,328.725,0.0,20.23,17.0,344.42
82,82,2025-01-20,2025,1,4,1,1,82,92,19,6,10,0.822,0,0.541,0,0,0,21,17,17,0,4,20.26,16.5,328.675,3.25,19.96,14.0,268.94
83,83,2025-01-27,2025,1,5,1,1,72,81,14,7,7,0.708,0,0.527,0,0,4,12,14,14,0,2,19.21,16.5,327.06,3.25,19.865000000000002,18.0,367.74
84,84,2025-02-03,2025,2,6,1,1,81,93,15,6,6,0.829,1,0.862,0,0,2,0,18,2,16,0,20.43,16.5,322.37,3.25,19.53,20.0,395.8
85,85,2025-02-10,2025,2,7,1,1,80,97,12,1,10,0.844,0,0.725,0,0,0,35,20,20,0,15,19.79,17.0,336.665,7.25,19.785,14.0,275.24
86,86,2025-02-17,2025,2,8,1,1,71,80,15,4,8,0.667,0,0.707,0,0,15,0,14,14,0,1,19.66,17.25,344.225,4.0,19.9225,13.0,248.3
87,87,2025-02-24,2025,2,9,1,1,75,84,14,4,4,0.719,0,0.376,0,0,1,14,13,13,0,2,19.1,16.5,326.93,4.0,19.7725,17.0,336.43
88,88,2025-03-03,2025,3,10,1,1,80,91,16,2,5,0.82,0,0.542,0,0,2,24,17,17,0,9,19.79,16.25,321.77,4.0,19.745,18.0,368.64
89,89,2025-03-10,2025,3,11,1,1,81,95,19,5,8,0.825,0,0.658,0,0,9,19,18,18,0,10,20.48,16.0,313.9425,0.0,19.585,16.0,304.32
90,90,2025-03-17,2025,3,12,1,1,81,99,22,5,7,0.767,0,0.937,0,0,10,18,16,16,0,12,19.02,15.5,307.15250000000003,0.0,19.7575,16.0,325.76
91,91,2025-03-24,2025,3,13,1,1,79,84,17,5,6,0.746,1,0.851,0,0,12,20,16,16,0,16,20.36,16.0,314.4225,0.0,19.5975,18.0,358.56
92,92,2025-03-31,2025,3,14,1,1,80,97,16,2,7,0.808,0,0.701,0,0,16,16,18,18,0,14,19.92,16.75,333.7875,0.0,19.912499999999998,17.0,349.01
93,93,2025-04-07,2025,4,15,1,1,76,96,22,2,6,0.775,0,0.469,0,0,14,0,17,14,3,0,20.53,17.0,339.32,0.0,19.945,16.0,317.28
94,94,2025-04-14,2025,4,16,1,1,79,88,14,2,10,0.696,0,0.729,0,0,0,28,16,16,0,12,19.83,16.75,334.4125,0.75,19.9575,15.0,288.45
95,95,2025-04-21,2025,4,17,1,1,72,87,20,2,6,0.761,0,0.74,0,0,12,13,15,15,0,10,19.23,16.75,337.65250000000003,0.75,20.16,17.0,348.84
96,96,2025-04-28,2025,4,18,1,1,77,88,18,2,9,0.716,0,0.81,0,0,10,0,17,10,7,0,20.52,16.5,328.325,0.75,19.8775,17.0,329.97
97,97,2025-05-05,2025,5,19,1,1,76,88,21,4,7,0.769,0,0.825,1,0,0,21,17,17,0,4,19.41,16.25,325.895,2.5,20.0275,18.0,362.16
98,98,2025-05-12,2025,5,20,1,1,77,90,16,1,8,0.741,0,0.678,1,0,4,20,18,18,0,6,20.12,16.25,321.135,1.75,19.747500000000002,18.0,339.48
99,99,2025-05-19,2025,5,21,1,1,83,104,20,5,3,0.8,0,0.752,1,0,6,17,18,18,0,5,18.86,16.75,332.355,1.75,19.82,18.0,362.7
100,100,2025-05-26,2025,5,22,1,1,82,102,23,3,9,0.831,1,0.906,1,0,5,27,18,18,0,14,20.15,17.5,345.1125,1.75,19.7275,15.0,294.45
101,101,2025-06-02,2025,6,23,1,1,85,108,16,3,1,0.839,0,0.492,1,0,14,0,15,14,1,0,19.63,17.75,348.5775,0.0,19.635,17.0,340.0
102,102,2025-06-09,2025,6,24,1,1,87,93,13,1,12,0.865,1,0.804,1,0,0,36,17,17,0,19,20.0,17.25,339.6975,0.25,19.689999999999998,19.0,363.85
103,103,2025-06-16,2025,6,25,1,1,79,86,17,2,9,0.842,0,0.589,1,0,19,10,19,19,0,10,19.15,17.0,334.15749999999997,0.25,19.659999999999997,19.0,391.59
104,104,2025-06-23,2025,6,26,1,1,83,101,17,6,7,0.849,1,0.674,1,0,10,22,19,19,0,13,20.61,17.25,340.25,0.25,19.732499999999998,19.0,394.25
105,105,2025-06-30,2025,6,27,1,1,85,94,16,2,3,0.821,0,0.641,1,0,13,19,19,19,0,13,20.75,17.5,347.47249999999997,0.25,19.8475,20.0,390.2
106,106,2025-07-07,2025,7,28,1,1,77,93,21,2,6,0.765,0,0.703,1,0,13,19,20,20,0,12,19.51,18.5,372.4225,0.0,20.127499999999998,17.0,356.32
107,107,2025-07-14,2025,7,29,1,1,91,106,13,6,7,0.863,0,0.687,1,0,12,0,17,12,5,0,20.96,19.25,384.97249999999997,0.0,20.005,22.0,432.74
108,108,2025-07-21,2025,7,30,1,1,93,119,15,4,9,0.815,0,0.746,1,0,0,35,22,22,0,13,19.67,18.75,383.09000000000003,1.25,20.4575,19.0,377.34
109,109,2025-07-28,2025,7,31,1,1,83,106,19,3,6,0.778,1,0.86,1,0,13,18,19,19,0,12,19.86,19.5,393.37749999999994,1.25,20.2225,20.0,382.8
110,110,2025-08-04,2025,8,32,1,1,81,95,12,2,8,0.806,1,0.818,1,0,12,23,20,20,0,15,19.14,19.5,389.15,1.25,20.0,19.0,381.52
111,111,2025-08-11,2025,8,33,1,1,90,97,18,8,12,0.864,0,0.84,1,0,15,0,19,15,4,0,20.08,19.5,387.3,1.25,19.9075,18.0,360.54
112,112,2025-08-18,2025,8,34,1,1,89,101,14,5,8,0.89,0,0.637,1,0,0,26,18,18,0,8,20.03,20.0,393.6,1.0,19.6875,19.0,395.01
113,113,2025-08-25,2025,8,35,1,1,88,108,24,3,8,0.822,0,0.695,1,0,8,24,19,19,0,13,20.79,19.0,375.54999999999995,1.0,19.7775,16.0,338.72
114,114,2025-09-01,2025,9,36,1,1,88,101,16,6,7,0.886,1,0.985,1,0,13,14,16,16,0,11,21.17,19.0,379.9675,1.0,20.01,19.0,390.83
115,115,2025-09-08,2025,9,37,1,1,92,118,24,6,9,0.872,1,0.781,1,0,11,22,19,19,0,14,20.57,18.0,368.9475,1.0,20.517500000000002,19.0,397.29
116,116,2025-09-15,2025,9,38,1,1,82,93,13,3,9,0.841,1,0.925,1,0,14,13,19,19,0,8,20.91,18.0,371.275,0.0,20.64,19.0,378.86
117,117,2025-09-22,2025,9,39,1,1,94,102,21,3,8,0.948,0,0.871,1,0,8,30,19,19,0,19,19.94,18.25,380.46250000000003,0.0,20.86,18.0,364.5
118,118,2025-09-29,2025,9,40,1,1,86,106,18,4,4,0.828,0,0.443,1,0,19,7,18,18,0,8,20.25,18.25,376.425,0.0,20.6475,20.0,410.0
119,119,2025-10-06,2025,10,41,1,1,92,103,24,3,6,0.934,0,0.431,0,0,8,0,20,8,12,0,20.5,18.75,382.87,0.0,20.4175,17.0,342.04
120,120,2025-10-13,2025,10,42,1,1,90,109,14,8,5,0.888,0,0.823,0,0,0,0,17,0,17,0,20.12,19.0,387.6625,3.0,20.400000000000002,18.0,363.6
121,121,2025-10-20,2025,10,43,1,1,81,90,16,3,8,0.776,0,0.738,0,0,0,29,18,18,0,11,20.2,18.5,373.85,7.25,20.2025,19.0,399.57
122,122,2025-10-27,2025,10,44,1,1,91,104,24,6,8,0.898,0,0.492,0,0,11,19,19,19,0,11,21.03,18.25,370.035,7.25,20.267500000000002,22.0,463.54
123,123,2025-11-03,2025,11,45,1,1,94,116,24,5,3,0.913,1,0.928,0,1,11,29,22,22,0,18,21.07,18.5,378.8025,7.25,20.462500000000002,21.0,425.25
124,124,2025-11-10,2025,11,46,1,1,92,117,21,2,5,0.917,1,0.7,0,1,18,16,21,21,0,13,20.25,19.0,392.1875,4.25,20.605,18.0,366.84
125,125,2025-11-17,2025,11,47,1,1,85,92,14,3,9,0.826,0,0.544,0,1,13,0,18,13,5,0,20.38,20.0,412.99,0.0,20.6375,21.0,427.98
126,126,2025-11-24,2025,11,48,1,1,89,111,22,3,4,0.943,0,0.526,0,1,0,23,21,21,0,2,20.38,20.0,413.8,1.25,20.682499999999997,20.0,430.2
127,127,2025-12-01,2025,12,49,1,1,91,96,12,3,4,0.92,1,1.119,0,1,2,40,20,20,0,22,21.51,20.5,420.90250000000003,1.25,20.52,18.0,378.18
128,128,2025-12-08,2025,12,50,1,1,89,98,23,0,8,0.892,0,0.474,0,1,22,0,18,18,0,4,21.01,20.0,412.5675,1.25,20.630000000000003,22.0,459.36
129,129,2025-12-15,2025,12,51,1,1,87,96,13,5,6,0.864,0,0.731,0,1,4,33,22,22,0,15,20.88,19.25,400.8,1.25,20.82,20.0,428.4
130,130,2025-12-22,2025,12,52,1,1,94,111,14,5,8,0.943,1,0.974,0,1,15,25,20,20,0,20,21.42,20.25,423.93,0.0,20.945,18.0,371.88
131,131,2025-12-29,2025,12,1,1,1,93,113,19,7,7,0.918,0,0.615,0,1,20,0,18,18,0,2,20.66,20.0,424.03499999999997,0.0,21.205000000000002,17.0,343.4
132,132,2026-01-05,2026,1,2,1,1,94,115,25,5,5,0.946,1,0.681,0,0,2,24,17,17,0,9,20.2,19.5,409.45500000000004,0.0,20.9925,17.0,336.09
133,133,2026-01-12,2026,1,3,1,1,84,106,21,3,7,0.878,1,0.932,0,0,9,21,17,17,0,13,19.77,19.25,400.76,0.0,20.79,17.0,341.19
134,134,2026-01-19,2026,1,4,1,1,91,106,19,5,5,0.902,0,0.651,0,0,13,0,17,13,4,0,20.07,18.0,369.9425,0.0,20.5125,19.0,388.93
135,135,2026-01-26,2026,1,5,1,1,91,96,21,6,6,0.902,1,0.819,0,0,0,38,19,19,0,19,20.47,17.25,348.14,1.0,20.175,16.0,333.28
136,136,2026-02-02,2026,2,6,1,1,89,113,18,3,3,0.931,0,0.67,0,0,19,0,16,16,0,3,20.83,17.5,352.4025,1.0,20.1275,22.0,450.34
137,137,2026-02-09,2026,2,7,1,1,100,120,23,2,6,1.0,0,0.714,0,0,3,21,22,22,0,2,20.47,17.25,349.8725,1.0,20.285,20.0,410.8
138,138,2026-02-16,2026,2,8,1,1,90,96,19,5,6,0.835,0,0.577,0,0,2,25,20,20,0,7,20.54,18.5,378.435,1.0,20.46,20.0,425.8
139,139,2026-02-23,2026,2,9,1,1,97,110,25,2,8,1.0,0,0.714,0,0,7,28,20,20,0,15,21.29,19.25,395.8375,0.0,20.577499999999997,22.0,473.66
140,140,2026-03-02,2026,3,10,1,1,96,102,16,5,9,0.975,0,0.677,0,0,15,0,22,15,7,0,21.53,19.5,405.055,0.0,20.7825,22.0,430.1
141,141,2026-03-09,2026,3,11,1,1,99,125,29,6,7,1.0,0,0.763,0,0,0,29,22,22,0,7,19.55,21.0,440.15,1.75,20.9575,17.0,353.77
142,142,2026-03-16,2026,3,12,1,1,91,99,22,10,7,0.917,0,0.342,0,0,7,14,17,17,0,4,20.81,21.0,435.09000000000003,1.75,20.7275,20.0,427.4
143,143,2026-03-23,2026,3,13,1,1,94,101,20,1,2,0.959,0,0.716,0,0,4,22,20,20,0,6,21.37,20.25,420.8325,1.75,20.795,18.0,367.2
144,144,2026-03-30,2026,3,14,1,1,101,121,15,3,7,1.0,0,0.797,0,0,6,16,18,18,0,4,20.4,20.25,421.23249999999996,1.75,20.814999999999998,19.0,392.73
145,145,2026-04-06,2026,4,15,1,1,99,105,22,5,10,0.977,0,0.383,0,0,4,0,19,4,15,0,20.67,19.25,394.6175,0.0,20.5325,20.0,422.2
146,146,2026-04-13,2026,4,16,1,1,99,128,22,6,9,0.939,0,0.741,0,0,0,0,20,0,20,0,21.11,18.5,385.275,3.75,20.8125,25.0,530.75
147,147,2026-04-20,2026,4,17,1,1,100,114,19,4,6,0.998,0,0.543,0,0,0,35,25,25,0,10,21.23,19.25,402.3825,8.75,20.8875,19.0,381.9
148,148,2026-04-27,2026,4,18,1,1,102,110,22,4,9,1.0,1,1.046,0,0,10,26,19,19,0,17,20.1,20.5,428.22,8.75,20.8525,20.0,403.6
149,149,2026-05-04,2026,5,19,1,1,94,108,24,3,12,0.912,1,0.94,1,0,17,20,20,20,0,17,20.18,20.75,431.895,8.75,20.7775,21.0,439.11
150,150,2026-05-11,2026,5,20,1,1,98,112,26,7,6,0.97,0,0.515,1,0,17,12,21,21,0,8,20.91,21.0,434.6125,5.0,20.655,20.0,442.0
151,151,2026-05-18,2026,5,21,1,1,100,107,22,4,4,0.953,1,0.809,1,0,8,24,20,20,0,12,22.1,21.25,438.84000000000003,0.0,20.605,22.0,450.34
