codigo_articulo,nombre_producto,presentacion,unidad_medida,categoria,categoria_general,origen,es_producto
SINT0039,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0247HA,Harina 7 semillas 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
SINT0063,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0691,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
03014CN,SALVIA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0337,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0568,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0929,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,sintetico,False
0242HA,Harina de almendra,,kg,Harina,Cereales y farináceos,real,True
SINT0558,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0770,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0024ME,Frejol Panamito 500 gr,500 gr,kg,Menestras,Menestras,real,True
0302CN,PIMIENTA ENTERA NEGRA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0342GE,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,real,False
0371IN,Hierba Luisa 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
0385IN,Te verde 50 und,50 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0754,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0101AC,Aceite de OlivaExtra Virgen200 ml,,litro,Aceite,Abarrotes,real,True
SINT0308,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0467SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
0067ME,Quinua 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0324,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
0681COR,Cabrito en trozo,,kg,Cordero,Cárnicos y pescados,real,True
SINT0819,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0302,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0011,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0424MR,Margarina 200 gr,200 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
0436MR,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,real,False
SINT0171,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0366,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0956,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0876,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0030ME,Garbanzo 500gr,500 gr,kg,Menestras,Menestras,real,True
SINT0673,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0006,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0378IN,Infusion digestiva 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
0604LI,Limpiador Multiusos Antibacteria 4 lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0064,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0031ME,Garbanzo 1 kl,1 kg,kg,Menestras,Menestras,real,True
0558VA,Asado de tira,,kg,Vacuno,Cárnicos y pescados,real,True
0541VA,Higado de res 1 kl,1 kg,kg,Vacuno,Cárnicos y pescados,real,True
SINT0875,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0607LI,Limpiador Multiusos Antibacteria 20 Lt,20 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0765,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0357,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0415LA,Yogurt 1 lt,1 lt,lata,Lacteos,Lácteos,real,True
0512AV,Carne molida de pollo,,kg,Aves,Avícolas,real,True
SINT0306,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0418MR,Mermelada 310 gr,310 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0916,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0191AZ,Azucar rubia 2 kg,2 kg,kg,Azucar,Abarrotes,real,True
SINT0226,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0165CR,Arroz Integral 5 kg,5 kg,kg,Cereal,Cereales y farináceos,real,True
0274CN,Sillao 5 lt,5 lt,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0277,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0813,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0292CN,Oregano 1 kl,1 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0619LI,Lavavajilla 400gr pote,400 gr,unidad,Limpieza,Limpieza e higiene,real,True
SINT0833,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0494,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0033ME,Garbanzo 10 kg,10 kg,kg,Menestras,Menestras,real,True
SINT0351,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0507,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0300CN,AJINOMOTO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0576LI,Detergente líquido 10 L,10 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0247,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0118,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0774,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0516,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0779,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0223IN,Fortificante Instantaneo 380,,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0660,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0521,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0330,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0637LI,Cepillo de escoba,,unidad,Limpieza,Limpieza e higiene,real,True
0327CN,Canela entera 1 kg,1 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0865,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0176CR,Maizena 100 GR,100 gr,kg,Cereal,Cereales y farináceos,real,True
0118CO,Trozo de atun aceite lata,lata,lata,Conserva,Conservas,real,True
0061ME,Papa Seca 10 kg,10 kg,kg,Menestras,Menestras,real,True
SINT0256,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0071ME,Quinua Negra 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0781,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0235,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0743,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0433,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0171CR,Granola 500 gr,500 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0890,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0969,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0792,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
0138CO,Frejol Negro 425 gr,425 gr,lata,Conserva,Conservas,real,True
0616LI,Sacasarro 500 ml,500 ml,unidad,Limpieza,Limpieza e higiene,real,True
SINT0498,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0016,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0345FI,Fideos largos 900 gr,900 gr,kg,Fideos,Cereales y farináceos,real,True
0426MR,Manteca 200 gr,200 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
0080ME,Trigo 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0599,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0015,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0417LA,Leche evaporada tetra pack,,lata,Lacteos,Lácteos,real,True
0627LI,Esponja multiusos para lavar,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0879,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0728,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0002,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0168,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0026,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0433MR,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,real,False
SINT0548,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0391,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0127CO,Duraznos en mitades 820 gr,820 gr,lata,Conserva,Conservas,real,True
SINT0688,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0858,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0262HA,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,real,False
0519CE,Panceta sin hueso,,kg,Cerdo,Cárnicos y pescados,real,True
0500AV,Higado de pollo,,kg,Aves,Avícolas,real,True
SINT0358,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0492PE,Registro técnico (sin descripción),,kg,Pescado,Cárnicos y pescados,real,False
0355FI,Fideos cortos sin gluten,,kg,Fideos,Cereales y farináceos,real,True
SINT0504,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0276,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0384,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0278CN,Ketchup 850 gr,850 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0520CE,Chuleta de pierna,,kg,Cerdo,Cárnicos y pescados,real,True
SINT0164,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0918,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0360,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0369,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0412LA,Leche complemento,,lata,Lacteos,Lácteos,real,True
SINT0661,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0981,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0075ME,Quinua tricolor 10 kg,10 kg,kg,Menestras,Menestras,real,True
0112AC,Aceite de oliva 4 lt,4 lt,litro,Aceite,Abarrotes,real,True
SINT0675,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0763,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0554VA,Osobuco,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0294,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0588,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0326,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0274,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0125,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0053ME,Pallar 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0093,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0078ME,Soya 1 kg,1 kg,kg,Menestras,Menestras,real,True
0250HA,Harina de camote 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
SINT0262,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0188AZ,Azucar blanca 10 kg,10 kg,kg,Azucar,Abarrotes,real,True
0273CN,Sillao 500 ml,500 ml,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0489,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0536VA,Carne Molida,,kg,Vacuno,Cárnicos y pescados,real,True
0126CO,Piña en almibar 500 gr lata,500 gr,lata,Conserva,Conservas,real,True
0254HA,Harina de yuca,,kg,Harina,Cereales y farináceos,real,True
SINT0231,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0586,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0902,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0590LI,Lejía líquida 10 lt,10 lt,unidad,Limpieza,Limpieza e higiene,real,True
0213IN,Cafe Instantaneo 180 gr,180 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0979,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0146,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0828,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0347FI,Fideos cortos 250 gr,250 gr,kg,Fideos,Cereales y farináceos,real,True
0588LI,Lejía líquida 4 lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0348,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0094,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0632LI,Paño de limpieza delgado,,unidad,Limpieza,Limpieza e higiene,real,True
0666LI,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
0069ME,Quinua Negra 500 gr,500 gr,kg,Menestras,Menestras,real,True
0402LA,Lechet niño fresca 900 ml caja,900 ml,lata,Lacteos,Lácteos,real,True
0319CN,FINAS HIERBAS,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0144CO,Registro técnico (sin descripción),,lata,Conserva,Conservas,real,False
0357FI,Pasta lasagña 1 kg,1 kg,kg,Fideos,Cereales y farináceos,real,True
SINT0445,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0622,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0087,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0831,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0563,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0264CN,Mayonesa 850 gr,850 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0675EM,Salchicha huachana,,unidad,Otros,Otros,real,True
0419MR,Mermelada 700 gr,700 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0920,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0484,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0975,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0730,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0187AZ,Azucar blanca 2 kg,2 kg,kg,Azucar,Abarrotes,real,True
SINT0951,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0356FI,Pasta lasagña 500 gr,500 gr,kg,Fideos,Cereales y farináceos,real,True
SINT0298,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0354FI,Fideos largos sin gluten,,kg,Fideos,Cereales y farináceos,real,True
0496AV,Pollo Sasami bandeJA,bandeja,kg,Aves,Avícolas,real,True
SINT0607,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0148,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0987,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0662,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0240HA,Harina de quinua 200gr,200 gr,kg,Harina,Cereales y farináceos,real,True
SINT0392,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0723,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0572,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0430MR,Crema de avellana 1 kg,1 kg,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0645,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0042,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0677EM,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
SINT0959,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0483PE,Filete de tilapa x 1kg (01 caja x10 kg),1 kg,kg,Pescado,Cárnicos y pescados,real,True
SINT0715,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0122,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0808,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0738,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0731,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0734,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
SINT0595,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0334,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0992,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0243HA,Harina de linaza 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
SINT0429,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0972,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0305CN,COMINO MOLIDO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0806,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0736,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0695,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0700,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0420MR,Mermelada 950 gr,950 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
0173CR,Salvado de trigo 250 gr,250 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0104,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0467,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0604,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0046ME,Moron 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0290,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0687,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0535VA,Bisteck,,kg,Vacuno,Cárnicos y pescados,real,True
0617LI,Acido Limpiador Sacasarro 4 lt,4 lt,unidad,Limpieza,Limpieza e higiene,real,True
0455SN,Galleta chocolate,,paquete,Snacks,Snacks y dulces,real,True
SINT0674,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0546,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0437FS,Mix de Fruto Secos 150 gr,150 gr,kg,Frutos secos,Snacks y dulces,real,True
0566LI,Detergente en polvo 10 Kg,10 kg,unidad,Limpieza,Limpieza e higiene,real,True
0178CR,Maizena 10 kl,10 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0904,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0963,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0370IN,Anis 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
0671EM,Chorizo Finas Hierbas x4,,paquete,Embutidos,Cárnicos y pescados,real,True
SINT0131,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0113,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0201AZ,Miel 5 lt,5 lt,kg,Azucar,Abarrotes,real,True
0016ME,Frejol Canario 10,,kg,Menestras,Menestras,real,True
0501AV,Corazon de pollo,,kg,Aves,Avícolas,real,True
SINT0127,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0537,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0409LA,Leche 390 bolsitarro niños,,lata,Lacteos,Lácteos,real,True
0649LI,Papel higienico doble hoja,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0045,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0225,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0528CE,Medallon de lomo,,kg,Cerdo,Cárnicos y pescados,real,True
0202AZ,Azucar rubia 25 kg,25 kg,kg,Azucar,Abarrotes,real,True
SINT0492,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0386IN,Te verde 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0152,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0289,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0919,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0212,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0220,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0272,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0058ME,Papa Seca 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0359,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0045ME,Mazi Cancha 5 kg,5 kg,kg,Menestras,Menestras,real,True
0102AC,Aceite de Oliva Extra Virgen 900 ml,900 ml,litro,Aceite,Abarrotes,real,True
0277CN,Ketchup 200 gr,200 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0178,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0103AC,Aceite de Oliva Extra Virgen 5 lt,5 lt,litro,Aceite,Abarrotes,real,True
SINT0973,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0109AC,Aceite de Canola Spray 170,,litro,Aceite,Abarrotes,real,True
0544VA,Asado pejerrey,,kg,Vacuno,Cárnicos y pescados,real,True
0503AV,Alas con sabor,,kg,Aves,Avícolas,real,True
0581LI,Suavizante de ropa 1.5 L,1.5 lt,unidad,Limpieza,Limpieza e higiene,real,True
0643LI,Bolsa basura 30 LT,30 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0135,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0193,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0891,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0942,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0342,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0131CO,Mix Verdura 184 gr,184 gr,lata,Conserva,Conservas,real,True
0375IN,Infusion digestiva 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0071,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0166,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
